symbol,name,sector
20MICRONS,20 Microns Limited,Basic Materials
21STCENMGM,Twentyfirst Century Management Services Limited,Financial Services
360ONE,360 One Wam Limited,Financial Services
3IINFOLTD,3i Infotech Limited,Technology
3MINDIA,3M India Limited,Industrials
3PLAND,3P Land Holdings Ltd,N/A
5PAISA,5paisa Capital Limited,Financial Services
63MOONS,63 moons technologies limited,Technology
A2ZINFRA,A2Z Infra Engineering Limited,Industrials
AAATECH,AAA Technologies Limited,Technology
AADHARHFC,N/A,Financial Services
AAKASH,Aakash Exploration Services Limited,Energy
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,Healthcare
AARON,Aaron Industries Limited,Industrials
AARTECH,Aartech Solonics Limited,Industrials
AARTIDRUGS,Aarti Drugs Limited,Healthcare
AARTIIND,Aarti Industries Limited,Basic Materials
AARTIPHARM,Aarti Pharmalabs Limited,Healthcare
AARTISURF,Aarti Surfactants Limited,Basic Materials
AARVEEDEN,Aarvee Denims and Exports Ltd.,Consumer Cyclical
AARVI,Aarvi Encon Limited,Industrials
AAVAS,Aavas Financiers Limited,Financial Services
ABAN,Aban Offshore Limited,Energy
ABB,ABB India Limited,Industrials
ABBOTINDIA,Abbott India Limited,Healthcare
ABCAPITAL,Aditya Birla Capital Limited,Financial Services
ABDL,N/A,Consumer Defensive
ABFRL,Aditya Birla Fashion and Retail Limited,Consumer Cyclical
ABMINTLLTD,ABM International Limited,Basic Materials
ABREL,Aditya Birla Real Estate Limited,Basic Materials
ABSLAMC,Aditya Birla Sun Life AMC Limited,Financial Services
ACC,ACC Limited,Basic Materials
ACCELYA,Accelya Solutions India Limited,Technology
ACCURACY,Accuracy Shipping Limited,Industrials
ACE,Action Construction Equipment Limited,Industrials
ACEINTEG,Ace Integrated Solutions Limited,Industrials
ACI,Archean Chemical Industries Limited,Basic Materials
ACL,Andhra Cements Limited,Basic Materials
ACLGATI,Allcargo Gati Limited,Industrials
ADANIENSOL,Adani Energy Solutions Limited,Utilities
ADANIENT,Adani Enterprises Limited,Energy
ADANIGREEN,Adani Green Energy Limited,Utilities
ADANIPORTS,Adani Ports and Special Economic Zone Limited,Industrials
ADANIPOWER,Adani Power Limited,Utilities
ADFFOODS,ADF Foods Limited,Consumer Defensive
ADL,Archidply Decor Limited,Consumer Cyclical
ADORWELD,Ador Welding Limited,Industrials
ADROITINFO,Adroit Infotech Limited,Technology
ADSL,Allied Digital Services Limited,Technology
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,Consumer Cyclical
ADVENZYMES,Advanced Enzyme Technologies Limited,Basic Materials
AEGISLOG,N/A,Energy
AEROFLEX,Aeroflex Industries Limited,Industrials
AETHER,Aether Industries Limited,Basic Materials
AFFLE,Affle (India) Limited,Communication Services
AFIL,N/A,Financial Services
AGARIND,Agarwal Industrial Corporation Limited,Basic Materials
AGI,AGI Greenpac Limited,Consumer Cyclical
AGIIL,AGI Infra Limited,Real Estate
AGRITECH,Agri-tech (India) Limited,Consumer Defensive
AGROPHOS,Agro Phos (India) Limited,Basic Materials
AGSTRA,AGS Transact Technologies Limited,Technology
AHL,Abans Holdings Limited,Financial Services
AHLADA,Ahlada Engineers Limited,Industrials
AHLEAST,Asian Hotels (East) Limited,Consumer Cyclical
AHLUCONT,Ahluwalia Contracts (India) Limited,Industrials
AIAENG,AIA Engineering Limited,Industrials
AIIL,Authum Investment & Infrastructure Limited,Financial Services
AIRAN,Airan Limited,Technology
AIROLAM,Airo Lam Limited,Consumer Cyclical
AJANTPHARM,Ajanta Pharma Limited,Healthcare
AJMERA,Ajmera Realty & Infra India Limited,Real Estate
AJOONI,Ajooni Biotech Limited,Consumer Defensive
AKASH,Akash Infra-Projects Limited,Industrials
AKG,AKG Exim Limited,Consumer Defensive
AKI,AKI India Limited,Consumer Cyclical
AKSHAR,Akshar Spintex Limited,Consumer Cyclical
AKSHARCHEM,AksharChem (India) Limited,Basic Materials
